school,amount,sport,deal_description,is_social_media,date
sandiegostate1,710.0,WSO,Other,0,
sandiegostate1,550.0,WGO,Other,0,
sandiegostate1,485.0,WBB,Other,0,
sandiegostate1,335.0,MSO,Other,0,
sandiegostate1,298.0,MSO,Other,0,
sandiegostate1,250.0,WTE,Other,0,
sandiegostate1,100.0,BA,Other,0,
sandiegostate1,75.0,MTE,Other,0,
sandiegostate1,8704.0,FB,Other,0,
sandiegostate1,5699.0,MBB,Other,0,
sandiegostate1,2745.0,WBB,Other,0,
sandiegostate1,1381.0,BA,Other,0,
sandiegostate1,1262.0,MSO,Other,0,
sandiegostate1,805.0,SB,Other,0,
sandiegostate1,658.0,WSO,Other,0,
sandiegostate1,584.0,WTR,Other,0,
sandiegostate1,387.0,XC,Other,0,
sandiegostate1,258.0,VB,Other,0,
sandiegostate1,60.0,WWP,Other,0,
sandiegostate1,20.0,LAX,Other,0,
sandiegostate1,10.0,WSW,Other,0,
sandiegostate1,71586.0,FB,Other,0,
sandiegostate1,5430.0,SB,Other,0,
sandiegostate1,4359.0,WSO,Other,0,
sandiegostate1,3607.0,WBB,Other,0,
sandiegostate1,2097.0,MSO,Other,0,
sandiegostate1,1678.0,VB,Other,0,
sandiegostate1,1608.0,WTR,Other,0,
sandiegostate1,1598.0,XC,Other,0,
sandiegostate1,1564.0,MBB,Other,0,
sandiegostate1,870.0,BA,Other,0,
sandiegostate1,650.0,LAX,Other,0,
sandiegostate1,50.0,WSW,Other,0,
sacramentostate2,65.0,Soccer (Womens),Other,0,2024-08-16
sacramentostate2,80.0,Basketball (Womens),Social Media,1,2024-07-27
sacramentostate2,568.0,Gymnastics (Womens),Other,0,2024-05-16
sacramentostate2,100.0,Football,Social Media,1,2024-05-08
sacramentostate2,300.0,Football,Other,0,2024-04-06
sacramentostate2,300.0,Gymnastics (Womens),Other,0,2024-04-06
sacramentostate2,300.0,Track and Field (Mens),Social Media,1,2024-03-25
sacramentostate2,500.0,Tennis (Womens),Social Media,1,2024-02-26
sacramentostate2,300.0,Gymnastics (Womens),Outside Employment,0,2024-02-22
sacramentostate2,100.0,Baseball,Not Sure,0,2024-02-21
sacramentostate2,120.0,Baseball,Social Media,1,2024-02-01
sacramentostate2,150.0,Softball,Social Media,1,2024-01-28
sacramentostate2,150.0,Softball,Social Media,1,2023-12-20
sacramentostate2,200.0,Track and Field (Mens),Social Media,1,2023-12-20
sacramentostate2,10.0,Baseball,Public Appearance,0,2023-12-01
sacramentostate2,10.0,Gymnastics (Womens),Social Media,1,2023-12-01
sacramentostate2,10.0,Baseball,Public Appearance,0,2023-12-01
sacramentostate2,10.0,Baseball,Public Appearance,0,2023-12-01
sacramentostate2,10.0,Baseball,Public Appearance,0,2023-12-01
sacramentostate2,10.0,Baseball,Public Appearance,0,2023-12-01
sacramentostate2,10.0,Baseball,Public Appearance,0,2023-12-01
sacramentostate2,199.99,Softball,Social Media,1,2023-11-27
sacramentostate2,105.0,Baseball,Social Media,1,2023-10-26
sacramentostate2,500.0,Football,Camps and Lessons,0,2023-10-23
sacramentostate2,10.0,Gymnastics (Womens),Social Media,1,2023-10-23
sacramentostate2,35.0,Softball,Social Media,1,2023-10-11
sacramentostate2,50.0,Softball,Social Media,1,2023-10-05
sacramentostate2,23.0,Softball,Social Media,1,2023-09-29
sacramentostate2,500.0,Football,Camps and Lessons,0,2023-09-24
sacramentostate2,500.0,Football,Camps and Lessons,0,2023-09-24
sacramentostate2,50.0,Soccer (Mens),Social Media,1,2023-08-20
sacramentostate2,150.0,Softball,Social Media,1,2023-08-14
sacramentostate2,500.0,Football,Camps and Lessons,0,2023-08-13
sacramentostate2,500.0,Football,Camps and Lessons,0,2023-08-13
sacramentostate2,500.0,Football,Camps and Lessons,0,2023-08-13
sacramentostate2,30.0,Softball,Social Media,1,2023-08-12
sacramentostate2,100.0,Softball,Social Media,1,2023-07-31
sacramentostate2,130.0,Softball,Social Media,1,2023-07-14
sacramentostate2,80.0,Football,Social Media,1,2023-07-13
sacramentostate2,500.0,Football,Camps and Lessons,0,2023-05-25
sacramentostate2,500.0,Football,Camps and Lessons,0,2023-05-25
sacramentostate2,1000.0,Football,Camps and Lessons,0,2023-05-25
sacramentostate2,500.0,Football,Camps and Lessons,0,2023-05-25
sacramentostate2,500.0,Football,Camps and Lessons,0,2023-05-25
sacramentostate2,500.0,Football,Camps and Lessons,0,2023-05-25
sacramentostate2,500.0,Football,Camps and Lessons,0,2023-05-25
sacramentostate2,500.0,Football,Camps and Lessons,0,2023-05-25
sacramentostate2,170.0,Soccer (Mens),Social Media,1,2023-05-14
sacramentostate2,100.0,Basketball (Womens),Social Media,1,2023-04-25
sacramentostate2,200.0,Basketball (Womens),Social Media,1,2023-04-12
sacramentostate2,350.0,Football,Social Media,1,2023-02-21
sacramentostate2,750.0,Football,Social Media,1,2023-02-21
sacramentostate2,100.0,Soccer (Mens),Social Media,1,2023-02-13
sacramentostate2,100.0,Soccer (Mens),Social Media,1,2023-02-02
sacramentostate2,75.0,Track and Field (Mens),Other,0,2023-01-14
sacramentostate2,50.0,Track and Field (Mens),Other,0,2022-12-13
sacramentostate2,50.0,Track and Field (Mens),Not Sure,0,2022-12-06
sacramentostate2,50.0,Track and Field (Mens),Not Sure,0,2022-12-06
sacramentostate2,50.0,Track and Field (Mens),Not Sure,0,2022-12-06
sacramentostate2,50.0,Track and Field (Mens),Social Media,1,2022-12-06
sacramentostate2,50.0,Track and Field (Mens),Public Appearance,0,2022-12-06
sacramentostate2,150.0,Soccer (Mens),Social Media,1,2022-12-02
sacramentostate2,10.0,Track and Field (Mens),Not Sure,0,2022-11-08
sacramentostate2,5000.0,Football,Social Media,1,2022-08-03
ucriverside,250.0,Women's Golf,Social Media,1,
ucriverside,100.0,Men's Soccer,Social Media,1,
ucriverside,150.0,Softball,Social Media,1,
ucriverside,150.0,Softball,Social Media,1,
ucriverside,50.0,Women's Basketball,Social Media,1,
sacramentostate3,300.0,Gymnastics,Playmake Day for Kids with Developmental Differences,0,
sacramentostate3,10.0,Baseball,Autograph Signing,0,
sacramentostate3,568.0,Gymnastics,Savanah Bananas Work,0,
sacramentostate3,100.0,Football,C4 Energy Pre-Workout,0,
sacramentostate3,300.0,Football,Playmake Day for Kids with Developmental Differences,0,
sacramentostate3,300.0,Gymnastics,Content,0,
sacramentostate3,300.0,Gymnastics,Playmake Day for Kids with Developmental Differences,0,
sacramentostate3,100.0,Baseball,Baseball Bat,0,
sacramentostate3,120.0,Baseball,-,0,
sacramentostate3,150.0,Softball,iHerb Campaign,0,
sacramentostate3,150.0,Softball,PSD Collab,0,
sacramentostate3,200.0,Women's Tennis,Campaign,0,
sacramentostate3,10.0,Baseball,Autograph Signing,0,
sacramentostate3,10.0,Baseball,Autograph Signing,0,
sacramentostate3,10.0,Baseball,Autograph Signing,0,
sacramentostate3,10.0,Baseball,Autograph Signing,0,
sacramentostate3,10.0,Baseball,Autograph Signing,0,
sacramentostate3,10.0,Gymnastics,Signature Leotard Design,0,
